,Fecha,Operador,Detalles de Ruta,Tipo de aeronave accidentada,Pasajeros,Tripulacion,Pasajeros Fallecidos,Tripulantes Fallecidos,Muertos en tierra,Total de personas a bordo
0,1908-09-17,Military - U.S. Army,Demonstration,Wright Flyer III,1,1,1,0,0,2
1,1909-09-07,Na dato,Air show,Wright Byplane,0,1,0,0,0,1
2,1912-07-12,Military - U.S. Navy,Test flight,Dirigible,0,5,0,5,0,5
3,1913-08-06,Private,Na dato,Curtiss seaplane,0,1,0,1,0,1
4,1913-09-09,Military - German Navy,Na dato,Zeppelin L-1 (airship),0,0,0,0,0,20
5,1913-10-17,Military - German Navy,Na dato,Zeppelin L-2 (airship),0,0,0,0,0,28
6,1915-03-05,Military - German Navy,Na dato,Zeppelin L-8 (airship),0,41,0,17,0,41
7,1915-09-03,Military - German Navy,Na dato,Zeppelin L-10 (airship),0,0,0,0,0,19
8,1916-07-28,Military - German Army,Na dato,Schutte-Lanz S-L-10 (airship),0,0,0,0,0,20
9,1916-09-24,Military - German Navy,Na dato,Zeppelin L-32 (airship),0,0,0,0,0,22
10,1916-10-01,Military - German Navy,Na dato,Zeppelin L-31 (airship),0,19,0,19,0,19
11,1916-11-21,Military - German Army,Na dato,Super Zeppelin (airship),0,0,0,0,0,28
12,1916-11-28,Military - German Navy,Na dato,Zeppelin L-34 (airship),0,0,0,0,0,20
13,1917-03-04,Military - German Army,Na dato,Airship,0,0,0,0,0,20
14,1917-03-30,Military - German Navy,Na dato,Schutte-Lanz S-L-9 (airship),0,0,0,0,0,23
15,1917-05-14,Military - German Navy,Na dato,Zeppelin L-22 (airship),0,0,0,0,0,21
16,1917-06-14,Military - German Navy,Na dato,Zeppelin L-43 (airship),0,0,0,0,0,24
17,1917-06-17,Na dato,Na dato,Zepplin L-48 (air ship),0,0,0,0,0,16
18,1917-08-21,Military - German Navy,Na dato,Zeppelin L-23 (airship),0,0,0,0,0,18
19,1917-10-20,Military - German Navy,Na dato,Zeppelin L-44 (airship),0,0,0,0,0,18
20,1918-04-07,Military - German Navy,Na dato,Zeppelin L-59 (airship),0,0,0,0,0,23
21,1918-08-05,Military - German Navy,Na dato,Zeppelin L-70 (airship),0,0,0,0,0,22
22,1918-08-11,Military - German Navy,Na dato,Zeppelin L-53 (airship),0,0,0,0,0,19
23,1918-12-16,US Aerial Mail Service,Na dato,De Havilland DH-4,0,1,0,1,0,1
24,1919-05-25,US Aerial Mail Service,Na dato,De Havilland DH-4,0,1,0,1,0,1
25,1919-07-19,US Aerial Mail Service,Na dato,De Havilland DH-4,0,1,0,1,0,1
26,1919-07-21,Wingfoot Air Express Goodyear Tire,Shuttle,FD Type Dirigible,0,0,2,1,10,0
27,1919-08-02,Caproni Company,Venice  Taliedo,Caproni Ca.48,12,2,12,2,0,14
28,1919-10-02,Aircraft Transport and Travel,Na dato,De Havilland DH-4,0,1,0,1,0,1
